Car_num,Brand,Mod,Yr,Money,Miles,Color
CAR001,Honda,Coupe,2022,,197300.0,White
CAR002,Chevrolet,Coupe,2009,42065.0,119752.0,Blue
CAR003,BMW,SUV,2022,31557.0,53984.0,Red
CAR004,Chevrolet,Hatchback,2001,38763.0,45774.0,Yellow
CAR005,Chevrolet,Hatchback,2006,37606.0,7568.0,Green
CAR006,Ford,Coupe,2023,16534.0,125151.0,Black
CAR007,BMW,Hatchback,2002,34127.0,198664.0,White
CAR008,BMW,Hatchback,2009,,138767.0,Yellow
CAR009,BMW,Sedan,1997,,129375.0,Black
CAR010,None,Coupe,2008,,184262.0,None
CAR011,Honda,Convertible,2011,29253.0,141330.0,Red
CAR012,BMW,Coupe,1998,29276.0,44504.0,Black
CAR013,Chevrolet,Convertible,2012,28247.0,169231.0,None
CAR014,Ford,Sedan,2002,29300.0,,Yellow
CAR015,Honda,SUV,1998,13529.0,66858.0,Black
CAR016,None,Hatchback,1996,22262.0,134312.0,None
CAR017,Honda,Sedan,2000,14268.0,,Green
CAR018,None,Hatchback,2016,26271.0,43660.0,Blue
CAR019,None,SUV,2004,17185.0,139633.0,Yellow
CAR020,Honda,SUV,1998,26243.0,31854.0,Black
CAR021,Ford,Sedan,2016,44099.0,69505.0,Red
CAR022,Chevrolet,SUV,2023,,109488.0,Blue
CAR023,Honda,Convertible,2012,44976.0,,Blue
CAR024,Toyota,SUV,2020,43044.0,27662.0,White
CAR025,Toyota,Hatchback,2006,56214.0,13392.0,Green
